TAG,DESCRIPTION,UNITE,MIN,MAX,DATATYPE,DATASCIENTISM,PRECISION,FREQUENCE_ECHANTILLONNAGE,VAL_DEF,DEVICE
C00000001-A003-1-kW L1-JTW,Altitude commerciale (la conserverie) Phase 1 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kW L2-JTW,Altitude commerciale (la conserverie) Phase 2 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kW L3-JTW,Altitude commerciale (la conserverie) Phase 3 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kW sys-JTW,Altitude commerciale (la conserverie) puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kvar L1-JTVar,Altitude commerciale (la conserverie) Phase 1 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kvar L2-JTVar,Altitude commerciale (la conserverie) Phase 2 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kvar L3-JTVar,Altitude commerciale (la conserverie) Phase 3 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kvar sys-JTVar,Altitude commerciale (la conserverie) puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kVA L1-JTVA,Altitude commerciale (la conserverie) Phase 1 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kVA L2-JTVA,Altitude commerciale (la conserverie) Phase 2 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kVA L3-JTVA,Altitude commerciale (la conserverie) Phase 3 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kVA sys-JTVA,Altitude commerciale (la conserverie) puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kWh-JTWH,Altitude commerciale (la conserverie) compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kWh (-)-JTWH,Altitude commerciale (la conserverie) puissance difference,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000001-A003-1-kvarh-JTVarH,Altitude commerciale (la conserverie) compteur puissance reactive ,JTVarH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kW L1-JTW,Sibuet atelier (hall à billettes) Phase 1 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kW L2-JTW,Sibuet atelier (hall à billettes) Phase 2 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kW L3-JTW,Sibuet atelier (hall à billettes) Phase 3 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kW sys-JTW,Sibuet atelier (hall à billettes) puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kvar L1-JTVar,Sibuet atelier (hall à billettes) Phase 1 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kvar L2-JTVar,Sibuet atelier (hall à billettes) Phase 2 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kvar L3-JTVar,Sibuet atelier (hall à billettes) Phase 3 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kvar sys-JTVar,Sibuet atelier (hall à billettes) puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kVA L1-JTVA,Sibuet atelier (hall à billettes) Phase 1 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kVA L2-JTVA,Sibuet atelier (hall à billettes) Phase 2 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kVA L3-JTVA,Sibuet atelier (hall à billettes) Phase 3 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kVA sys-JTVA,Sibuet atelier (hall à billettes) puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kWh-JTWH,Sibuet atelier (hall à billettes) compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kWh (-)-JTWH,Sibuet atelier (hall à billettes) puissance difference,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000002-B007-2-kvarh-JTVarH,Sibuet atelier (hall à billettes) compteur puissance reactive ,JTVarH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kW L1-JTW,Sylfen Phase 1 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kW L2-JTW,Sylfen Phase 2 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kW L3-JTW,Sylfen Phase 3 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kW sys-JTW,Sylfen puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kW dmd-JTW,Sylfen puissance demandée,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kvar L1-JTVar,Sylfen Phase 1 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kvar L2-JTVar,Sylfen Phase 2 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kvar L3-JTVar,Sylfen Phase 3 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kvar sys-JTVar,Sylfen puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kVA L1-JTVA,Sylfen Phase 1 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kVA L2-JTVA,Sylfen Phase 2 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kVA L3-JTVA,Sylfen Phase 3 puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kVA sys-JTVA,Sylfen puissance active,JTVA,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kWh-JTWH,Sylfen compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kWh (-)-JTWH,Sylfen puissance difference,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kWh L1-JTWH,Sylfen Phase 1 compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kWh L2-JTWH,Sylfen Phase 2 compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kWh L3-JTWH,Sylfen Phase 3 compteur,JTWH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000003-B001-3-kvarh-JTVarH,Sylfen compteur puissance reactive ,JTVarH,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000004-A002-4-kW L1-JTW,Bureaux et communs administratif centraux rez de chaussée Phase 1 puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000004-A002-4-kW sys-JTW,Bureaux et communs administratif centraux rez de chaussée puissance,JTW,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000004-A002-4-kvar L1-JTVar,Bureaux et communs administratif centraux rez de chaussée Phase 1 puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
C00000004-A002-4-kvar sys-JTVar,Bureaux et communs administratif centraux rez de chaussée puissance reactive,JTVar,-200000,200000,REAL,True,0.01,5,0,vmuc
