last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,woba,pull_percent,straightaway_percent,opposite_percent,bats_right_pct,bats_left_pct,bats_right_pct,bats_left_pct,bats_right_pct,bats_left_pct,bats_right_pct,bats_left_pct,
Pujols,Albert,405395,2021,296,45,3,0,17,45,14,0.284,0.717,0,5,44,86,19,18,0,0,0,1,1,0,0.302,46.1,28.4,25.4,1.0,0.0,
Cabrera,Miguel,408234,2021,526,90,16,0,15,118,40,0.316,0.701,0,5,72,131,24,13,0,0,0,0,0,0,0.305,32.8,37.2,30,1.0,0.0,
Rivera,Rene,425784,2021,78,11,3,0,2,29,4,0.282,0.644,0,2,4,19,2,2,0,0,0,0,0,0,0.288,48.8,27.9,23.3,1.0,0.0,
Wainwright,Adam,425794,2021,74,5,2,0,0,25,3,0.135,0.293,0,0,5,31,2,1,0,0,0,0,0,0,0.149,39.1,50,10.9,1.0,0.0,
Molina,Yadier,425877,2021,473,81,19,0,11,79,24,0.296,0.666,1,5,85,118,27,23,0,0,0,1,2,0,0.290,43.4,34.3,22.3,1.0,0.0,
Suzuki,Kurt,435559,2021,247,35,8,0,6,44,12,0.291,0.634,0,11,37,60,19,14,0,0,0,0,0,0,0.282,47.8,31.7,20.6,1.0,0.0,
CruzJr.,Nelson,443558,2021,584,82,21,1,32,126,51,0.332,0.829,4,7,69,129,23,35,0,0,0,3,0,0,0.346,36.6,36.4,27,1.0,0.0,
Peralta,David,444482,2021,538,80,30,8,8,92,46,0.325,0.728,0,3,50,166,29,25,1,0,0,2,0,0,0.314,31.2,40.8,28,0.0,1.0,
Pina,Manny,444489,2021,208,15,6,0,13,38,22,0.293,0.732,0,5,30,48,17,14,0,0,0,0,0,0,0.315,44.8,37.1,18.2,1.0,0.0,
Escobar,Alcides,444876,2021,349,65,21,2,4,56,17,0.338,0.742,0,9,39,95,27,14,0,0,0,3,0,0,0.326,31.1,38.2,30.7,1.0,0.0,
Longoria,Evan,446334,2021,291,36,17,0,13,68,35,0.351,0.833,0,1,39,59,13,8,1,0,0,1,0,0,0.352,35.8,39,25.1,1.0,0.0,
Morton,Charlie,450203,2021,62,6,1,0,0,31,0,0.113,0.258,0,0,4,16,2,2,0,0,0,0,0,0,0.118,25.8,35.5,38.7,1.0,0.0,
